;empty_slots;extra;free_bikes;id;latitude;longitude;name;timestamp;dist
0;0;{'number': 2, 'reviews': 1671, 'score': 4.6, 'status': 'online', 'uid': '251'};0;15af4cdd63c01ecaf5851e36c8faf608;45.082462;7.695677;Bologna;2020-10-11T16:55:41.761000Z;
1;14;{'number': 3, 'reviews': 351, 'score': 3.3, 'status': 'online', 'uid': '252'};1;248d4542158dc35ace927f698f059a14;45.073442;7.668313;Porta Susa 2;2020-10-11T16:55:41.761000Z;5499663.466125555
2;13;{'number': 4, 'reviews': 338, 'score': 3.9, 'status': 'online', 'uid': '253'};0;9f705b5e090de99e976f4ac6c6911571;45.072882;7.667951;Porta Susa 1;2020-10-11T16:55:41.761000Z;
3;14;{'number': 5, 'reviews': 221, 'score': 3.4, 'status': 'online', 'uid': '254'};0;53a856e2cd42e9bfbc022f6cdc6d2e1c;45.072642;7.670337;Cernaia;2020-10-11T16:55:41.761000Z;
4;3;{'number': 6, 'reviews': 217, 'score': 3.5, 'status': 'online', 'uid': '255'};3;2bf7fcbcdd03427d49d057a3f4d4b378;45.075438;7.673785;Valdocco 2;2020-10-11T16:55:41.761000Z;5499446.840214568
5;8;{'number': 8, 'reviews': 362, 'score': 3.5, 'status': 'online', 'uid': '257'};2;62e1229a487243fb01fa03af26e69b01;45.078044;7.675665;Valdocco;2020-10-11T16:55:41.761000Z;5499492.083967806
6;10;{'number': 9, 'reviews': 332, 'score': 3.9, 'status': 'online', 'uid': '258'};1;8e8de5efc9bbc722629d8956c897bdea;45.075794;7.677993;Consolata;2020-10-11T16:55:41.761000Z;5499206.794523559
7;9;{'number': 10, 'reviews': 397, 'score': 4.3, 'status': 'offline', 'uid': '259'};0;0904053b19a69a368ca1b25448ac6aa6;45.063835;7.676327;Vittorio Emanuele II 6;2020-10-11T16:55:41.761000Z;
8;9;{'number': 11, 'reviews': 537, 'score': 4.0, 'status': 'online', 'uid': '260'};1;3c1c5c0914a37de93c7f62ffedfcfa93;45.070527;7.682217;Pietro Micca;2020-10-11T16:55:41.761000Z;5498615.399424485
9;8;{'number': 12, 'reviews': 297, 'score': 4.0, 'status': 'online', 'uid': '261'};2;daa3408cf489d582d20393c4394e2444;45.074394;7.678886;Corte d`Appello;2020-10-11T16:55:41.761000Z;5499063.907627596
10;8;{'number': 14, 'reviews': 327, 'score': 2.6, 'status': 'online', 'uid': '262'};2;77e77de1eeff89cff817a0616b6c76b6;45.076228;7.671769;Statuto 2;2020-10-11T16:55:41.761000Z;5499621.710572311
11;6;{'number': 16, 'reviews': 319, 'score': 4.0, 'status': 'online', 'uid': '264'};1;39ca8cd6625f0bfc3b1befb8578e27c3;45.078825;7.701405;Cimitero Monumentale;2020-10-11T16:55:41.761000Z;5497936.931038009
12;11;{'number': 17, 'reviews': 317, 'score': 4.0, 'status': 'online', 'uid': '265'};1;7bab9c15c77104412b391ebe188346af;45.07396293061647;7.684050574676576;Porta Palatina;2020-10-11T16:55:41.761000Z;5498715.238366807
13;17;{'number': 18, 'reviews': 823, 'score': 4.5, 'status': 'online', 'uid': '266'};2;7c3aec60b271b1e9ad200b335f499255;45.073368;7.682284;IV Marzo;2020-10-11T16:55:41.761000Z;5498788.24215283
14;0;{'number': 19, 'reviews': 295, 'score': 4.3, 'status': 'offline', 'uid': '267'};0;b5bad95a1b0a65fd05427bb1ba2f550e;45.058787;7.690584;Cairoli;2020-10-11T16:55:41.761000Z;
15;15;{'number': 20, 'reviews': 761, 'score': 3.9, 'status': 'offline', 'uid': '268'};1;c46028ebd266fe2c7b53d1f1cce524fc;45.073561;7.676598;Arbarello;2020-10-11T16:55:41.761000Z;5499154.574515647
16;7;{'number': 21, 'reviews': 562, 'score': 4.4, 'status': 'online', 'uid': '269'};2;e06cf96c3ac62ab24e57101e1bcfbb2d;45.055278;7.663961;Galileo Ferraris 1;2020-10-11T16:55:41.761000Z;5498802.760260747
17;5;{'number': 22, 'reviews': 231, 'score': 3.9, 'status': 'online', 'uid': '270'};0;d7f5ecd55ceed0185b735902d69c98ec;45.063029;7.678823;Porta Nuova 1;2020-10-11T16:55:41.761000Z;
18;0;{'number': 23, 'reviews': 1290, 'score': 4.4, 'status': 'offline', 'uid': '271'};0;74d171b578136bcb9a95bc25ebe654ee;45.0691;7.701921;Bava;2020-10-11T16:55:41.761000Z;
19;10;{'number': 24, 'reviews': 344, 'score': 4.1, 'status': 'online', 'uid': '272'};0;a5b4759d61ccf764cfaef64a35827403;45.072944;7.665808;Inghilterra 1;2020-10-11T16:55:41.761000Z;
20;10;{'number': 25, 'reviews': 706, 'score': 4.5, 'status': 'online', 'uid': '273'};4;9e58b009669cc416db675858c8f06e95;45.071713;7.707736;Tortona;2020-10-11T16:55:41.761000Z;5497099.55319487
21;1;{'number': 26, 'reviews': 115, 'score': 3.8, 'status': 'online', 'uid': '274'};4;f87af570c508e46496985c4149f16b49;45.06833588690814;7.676250219345093;Solferino 2;2020-10-11T16:55:41.761000Z;5498850.655880729
22;13;{'number': 27, 'reviews': 126, 'score': 3.9, 'status': 'online', 'uid': '275'};4;cfe425768bb13389901d90f416fac748;45.069258;7.675946;Meucci;2020-10-11T16:55:41.761000Z;5498927.069667926
23;2;{'number': 28, 'reviews': 185, 'score': 3.8, 'status': 'online', 'uid': '276'};0;35696172dd6ffaea0ea9cb0fc5d80ec8;45.066323;7.674766;Matteotti 1;2020-10-11T16:55:41.761000Z;
24;4;{'number': 29, 'reviews': 173, 'score': 4.0, 'status': 'online', 'uid': '277'};2;667249c62f287db7e329d77771d9cf41;45.064211;7.678759;Paleocapa;2020-10-11T16:55:41.761000Z;5498437.330066616
25;9;{'number': 30, 'reviews': 268, 'score': 4.2, 'status': 'online', 'uid': '278'};2;f5b3628e27aa72a5831298af6f04a0fe;45.068058;7.670345;Matteotti 2;2020-10-11T16:55:41.761000Z;5499201.310769849
26;14;{'number': 31, 'reviews': 502, 'score': 4.1, 'status': 'online', 'uid': '279'};0;4e8b78ae051b1ec0ae1e3461890f189d;45.068813;7.667955;Matteotti 3;2020-10-11T16:55:41.761000Z;
27;0;{'number': 32, 'reviews': 269, 'score': 4.2, 'status': 'offline', 'uid': '280'};0;f07451d923582c3ed9d7d698107aa4c4;45.066871;7.671472;Galileo Ferraris 5;2020-10-11T16:55:41.761000Z;
28;6;{'number': 33, 'reviews': 86, 'score': 3.3, 'status': 'online', 'uid': '281'};1;ab72fb0727dabf331ac0796cfb7ff70f;45.071389;7.666648;Bolzano;2020-10-11T16:55:41.761000Z;5499639.285248437
29;0;{'number': 13, 'reviews': 332, 'score': 4.2, 'status': 'offline', 'uid': '282'};0;00f2c0f0fac1e5e723bc87d0fd6b90f3;45.067018;7.666677;Vittorio Emanuele II 1;2020-10-11T16:55:41.761000Z;
30;5;{'number': 34, 'reviews': 420, 'score': 3.6, 'status': 'online', 'uid': '283'};4;ea60ce76df79dded12926aceb21f64ff;45.067595;7.66577;Vittorio Emanuele II 2;2020-10-11T16:55:41.761000Z;5499457.559077382
31;1;{'number': 35, 'reviews': 255, 'score': 4.1, 'status': 'online', 'uid': '284'};1;583e2a7684d746923ce519089b6e9447;45.054361;7.675643;Nizza 2;2020-10-11T16:55:41.761000Z;5498017.793375678
32;11;{'number': 36, 'reviews': 525, 'score': 4.4, 'status': 'online', 'uid': '285'};0;98429a4e5f54ed15e8f8a58093f55227;45.064639;7.673306;Vittorio Emanuele II 3;2020-10-11T16:55:41.761000Z;
33;14;{'number': 37, 'reviews': 285, 'score': 3.8, 'status': 'online', 'uid': '286'};0;521c60f663967bf1ccd6570da04b715f;45.062814;7.679367;Porta Nuova 2;2020-10-11T16:55:41.761000Z;
34;4;{'number': 38, 'reviews': 330, 'score': 4.0, 'status': 'online', 'uid': '287'};6;303a69d345b44b6f299bbd46c7f28b47;45.07917;7.69827;Padova;2020-10-11T16:55:41.761000Z;5498153.730250432
35;8;{'number': 39, 'reviews': 171, 'score': 3.6, 'status': 'online', 'uid': '288'};1;33714b6419767c5e680c7e4d26166ce3;45.063477;7.68087;Lagrange;2020-10-11T16:55:41.761000Z;5498260.077992835
36;9;{'number': 41, 'reviews': 271, 'score': 3.8, 'status': 'online', 'uid': '290'};1;d59181aba3646ad37cab8ae54cbecebc;45.066101;7.682206;CLN;2020-10-11T16:55:41.761000Z;5498340.323370637
37;7;{'number': 42, 'reviews': 177, 'score': 3.2, 'status': 'online', 'uid': '291'};2;12cfe32e7bb1c6f0d1b3d84ee82d39c8;45.067115;7.678052;Arcivescovado;2020-10-11T16:55:41.761000Z;5498662.316754119
38;3;{'number': 43, 'reviews': 331, 'score': 4.2, 'status': 'online', 'uid': '292'};1;29429131a6fe32729fb1e4dc5e582c70;45.066514;7.683693;Giolitti 1;2020-10-11T16:55:41.761000Z;5498273.410584015
39;8;{'number': 45, 'reviews': 355, 'score': 4.3, 'status': 'offline', 'uid': '294'};2;7448dbc6ff21976efad0893651c90a85;45.069936;7.682373;Bertola;2020-10-11T16:55:41.761000Z;5498568.856442991
40;7;{'number': 46, 'reviews': 823, 'score': 4.2, 'status': 'online', 'uid': '295'};1;8d0923df4f487be62b1d41b9229714b1;45.060042;7.65628;Lione;2020-10-11T16:55:41.761000Z;5499578.272761629
41;4;{'number': 47, 'reviews': 213, 'score': 4.2, 'status': 'online', 'uid': '296'};1;6f7549bea746384a7a9868d1f8785f1c;45.071445;7.68806;Castello 1;2020-10-11T16:55:41.761000Z;5498308.549012723
42;0;{'number': 48, 'reviews': 186, 'score': 4.0, 'status': 'online', 'uid': '297'};0;8445975fcb2fd864e381ddf09407057b;45.064764;7.664944;Stati Uniti 1;2020-10-11T16:55:41.761000Z;
43;9;{'number': 49, 'reviews': 266, 'score': 3.9, 'status': 'online', 'uid': '298'};1;44f0d7cd1a80641e5efcb16e15870c9f;45.070049;7.68645;Castello 2;2020-10-11T16:55:41.761000Z;5498321.881753968
44;6;{'number': 51, 'reviews': 574, 'score': 4.4, 'status': 'online', 'uid': '300'};1;13e6512cfbf9d0437198b6dcd9025752;45.071931;7.69262;San Maurizio;2020-10-11T16:55:41.761000Z;5498054.736382093
45;0;{'number': 52, 'reviews': 297, 'score': 4.1, 'status': 'offline', 'uid': '301'};0;8a3a53282bb598dd7af17e701d9800ff;45.068872;7.691291;RAI;2020-10-11T16:55:41.761000Z;
46;4;{'number': 54, 'reviews': 207, 'score': 4.0, 'status': 'online', 'uid': '303'};2;7dcf829c0482125b211b89eb5844b675;45.068576;7.69437;Universita` 1;2020-10-11T16:55:41.761000Z;5497736.712957796
47;5;{'number': 56, 'reviews': 142, 'score': 3.9, 'status': 'online', 'uid': '305'};1;f416d5b5054eeb6ba66b5d3cfa1a6576;45.067696;7.691789;Universita`3;2020-10-11T16:55:41.761000Z;5497842.67662475
48;10;{'number': 116, 'reviews': 432, 'score': 4.4, 'status': 'online', 'uid': '306'};1;5d14bc0345ad76855d580fa56d27127f;45.068205;7.662287;Castelfidardo;2020-10-11T16:55:41.761000Z;5499712.63848197
49;1;{'number': 57, 'reviews': 222, 'score': 4.0, 'status': 'online', 'uid': '307'};0;bfa12cb895ac0d7392dde60b6b433cdf;45.068617;7.689097;San Francesco da Paola;2020-10-11T16:55:41.761000Z;
50;0;{'number': 58, 'reviews': 186, 'score': 3.9, 'status': 'offline', 'uid': '308'};0;fa542128c27969894f2d17b1e2e20217;45.06806;7.686688;Carlo Alberto;2020-10-11T16:55:41.761000Z;
51;0;{'number': 60, 'reviews': 248, 'score': 4.2, 'status': 'maintenance', 'uid': '310'};0;e1e0e964fa1d00f99c5d57542fcde36a;45.06678642519523;7.68892228603363;Piazza Carlina;2020-10-11T16:55:41.761000Z;
52;1;{'number': 61, 'reviews': 116, 'score': 3.8, 'status': 'online', 'uid': '311'};0;5fec3710584f4dd43dec9aa89b24087a;45.064756;7.68635;Valdo Fusi;2020-10-11T16:55:41.761000Z;
53;0;{'number': 63, 'reviews': 366, 'score': 4.2, 'status': 'online', 'uid': '313'};1;1e13062df679b8d771bf2647b0fedf9b;45.063371;7.684235;Bodoni;2020-10-11T16:55:41.761000Z;5498043.834112826
54;0;{'number': 64, 'reviews': 174, 'score': 3.9, 'status': 'online', 'uid': '314'};1;4f7e6afbdf3affdc419a293342ebb1ab;45.060394;7.685138;Vittorio Emanuele II 5;2020-10-11T16:55:41.761000Z;5497802.1223206
55;3;{'number': 66, 'reviews': 119, 'score': 4.0, 'status': 'online', 'uid': '316'};2;df5fcc9ba6234a6732ad0a73dcf0d560;45.064114;7.690438;Giolitti 2;2020-10-11T16:55:41.761000Z;5497703.69718076
56;0;{'number': 67, 'reviews': 84, 'score': 3.8, 'status': 'online', 'uid': '317'};5;2703d498858c74efb1028a04355e954d;45.06513;7.692299;Maria Vittoria;2020-10-11T16:55:41.761000Z;5497651.059343087
57;0;{'number': 68, 'reviews': 272, 'score': 4.3, 'status': 'offline', 'uid': '318'};0;03bc5daeb184427e46b2f9a75c26175f;45.065162;7.693616;Vittorio Veneto 2;2020-10-11T16:55:41.761000Z;
58;0;{'number': 69, 'reviews': 268, 'score': 4.0, 'status': 'offline', 'uid': '319'};0;c162505446e5b624d0bc6c90fd405b3d;45.061696;7.693865;Murazzi;2020-10-11T16:55:41.761000Z;
59;16;{'number': 71, 'reviews': 247, 'score': 4.1, 'status': 'online', 'uid': '321'};1;75be188ad8a1e26e09b945659599c2c1;45.066582;7.661789;O.G.R.;2020-10-11T16:55:41.761000Z;5499642.525976678
60;2;{'number': 72, 'reviews': 315, 'score': 4.1, 'status': 'online', 'uid': '322'};5;bc0d271171ddcc3207f46cf00c738975;45.058046;7.6935;Fiume;2020-10-11T16:55:41.761000Z;5497134.993467707
61;2;{'number': 73, 'reviews': 273, 'score': 3.6, 'status': 'online', 'uid': '323'};0;d42095306bf3c7c5c97f24724959315a;45.063058;7.698453;Gran Madre;2020-10-11T16:55:41.761000Z;
62;5;{'number': 76, 'reviews': 785, 'score': 4.0, 'status': 'online', 'uid': '326'};0;808f2aa41bc2dc947db6bfe6585fc133;45.054267;7.678409;Belfiore;2020-10-11T16:55:41.761000Z;
63;16;{'number': 78, 'reviews': 1116, 'score': 4.1, 'status': 'online', 'uid': '328'};1;8fe5434fe7ec6c7e1c1fa865ce2d3444;45.069123;7.720369;Carrara;2020-10-11T16:55:41.761000Z;5496151.494200323
64;0;{'number': 79, 'reviews': 707, 'score': 4.3, 'status': 'online', 'uid': '329'};0;56ac4933540413aa2cd3c7869d11bd18;45.073547;7.717059;Belgio 2;2020-10-11T16:55:41.761000Z;
65;14;{'number': 80, 'reviews': 763, 'score': 4.1, 'status': 'online', 'uid': '330'};0;efae041ff574cf0f3378eb1a076cb64a;45.063806;7.66945;Galileo Ferraris 4;2020-10-11T16:55:41.761000Z;
66;8;{'number': 81, 'reviews': 1406, 'score': 4.1, 'status': 'online', 'uid': '331'};2;b43271bb186d10877c29e96d86e7aff3;45.05943;7.670561;Re Umberto;2020-10-11T16:55:41.761000Z;5498650.229106386
67;2;{'number': 82, 'reviews': 673, 'score': 4.0, 'status': 'online', 'uid': '332'};5;ebaf3909a7b4d4db160e393e6f8621fd;45.056012;7.668118;Re Umberto 2;2020-10-11T16:55:41.761000Z;5498589.479843965
68;2;{'number': 83, 'reviews': 702, 'score': 4.3, 'status': 'online', 'uid': '333'};1;59ba0927ce2b4e72bde333ebfa9fd4e5;45.05712134640028;7.6653215289115915;Galileo Ferraris 2;2020-10-11T16:55:41.761000Z;5498832.844521196
69;0;{'number': 84, 'reviews': 154, 'score': 4.1, 'status': 'offline', 'uid': '334'};0;4e8a8ea53e1bdcb4c9d92999c66a77e9;45.062132;7.663007;Politecnico 2;2020-10-11T16:55:41.761000Z;
70;6;{'number': 85, 'reviews': 310, 'score': 4.0, 'status': 'online', 'uid': '335'};0;e83007cd520a046bfa032cfe75d5889b;45.060759;7.661325;Politecnico 3;2020-10-11T16:55:41.761000Z;
71;5;{'number': 86, 'reviews': 331, 'score': 2.7, 'status': 'online', 'uid': '336'};1;d5d84b0de5b967198d467baeb5b02c65;45.064101;7.659946;Politecnico 4;2020-10-11T16:55:41.761000Z;5499602.764902376
72;2;{'number': 87, 'reviews': 364, 'score': 4.1, 'status': 'online', 'uid': '337'};0;8d905cb233d02886d288c0185f870832;45.07084597193492;7.6612794399261475;Tribunale;2020-10-11T16:55:41.761000Z;
73;8;{'number': 88, 'reviews': 1906, 'score': 4.0, 'status': 'online', 'uid': '338'};1;7aacdceecb6143183185e9d182821fe3;45.073304;7.662401;Principi d`Acaja 1;2020-10-11T16:55:41.761000Z;5500023.328496858
74;6;{'number': 89, 'reviews': 654, 'score': 4.1, 'status': 'online', 'uid': '339'};2;d21b21a3780ccd3198e2b72afb3b0a82;45.075859;7.664055;Principi d`Acaja 2;2020-10-11T16:55:41.761000Z;5500079.485689503
75;0;{'number': 90, 'reviews': 1247, 'score': 4.0, 'status': 'offline', 'uid': '340'};0;e2b1ee06b8991ce41ab05a1dc2645c41;45.07617;7.655561;Bernini;2020-10-11T16:55:41.761000Z;
76;0;{'number': 91, 'reviews': 558, 'score': 3.7, 'status': 'online', 'uid': '341'};3;ae8eae4419e7c094b6365228f6eac681;45.070719;7.655975;Adriano;2020-10-11T16:55:41.761000Z;5500262.73399855
77;7;{'number': 92, 'reviews': 1491, 'score': 4.5, 'status': 'online', 'uid': '342'};2;92b1ecbf2a2372db24c7c9b1c907965a;45.057097;7.661246;De Gasperi;2020-10-11T16:55:41.761000Z;5499085.281162046
78;1;{'number': 93, 'reviews': 538, 'score': 4.1, 'status': 'online', 'uid': '343'};0;c91f8184077b22c31dff9c0ea96184dd;45.07235;7.697286;Regina Margherita 2;2020-10-11T16:55:41.761000Z;
79;7;{'number': 96, 'reviews': 518, 'score': 4.4, 'status': 'online', 'uid': '346'};3;38d1439b1df809b01429cd75224c1581;45.076832;7.694134;Regio Parco;2020-10-11T16:55:41.761000Z;5498265.747454134
80;0;{'number': 97, 'reviews': 150, 'score': 4.1, 'status': 'online', 'uid': '347'};0;c37dddd62e523094fe99c8ec2ed3c5f1;45.065482;7.698692;Lungo Po Cadorna;2020-10-11T16:55:41.761000Z;
81;5;{'number': 98, 'reviews': 224, 'score': 4.1, 'status': 'online', 'uid': '348'};0;93d1d41761adc26f853a3d82987f0d57;45.067323;7.696805;Giulia di Barolo;2020-10-11T16:55:41.761000Z;
